txid,block_timestamp,block_number,input_count,output_count,input_value,output_value,fee,size,virtual_size,is_coinbase
be91d1c5438aea0c9f9dfd9112bea56fea55ce1737ac315a5b792b66adde4db2,2026-09-01 03:21:38.000000 UTC,964974,1,1,330,1,329,139,88,false
d45633332978769a10d4ac4a202718cf57b91aa7e7f04aa24a263c4c0a8cae8d,2026-09-01 03:21:38.000000 UTC,964974,1,1,11210,10538,672,150,99,false
28c20f5ebcfe14ab4e70ebedcb13470f40414d9056e28535e3faf197a686d1ca,2026-09-01 03:21:38.000000 UTC,964974,1,1,38392,38000,392,150,99,false
cfb73c8a72d4df87f3fb0846b16d22bda45951c86dddd43929f9d7f928fac01b,2026-09-01 03:21:38.000000 UTC,964974,1,1,85062,84864,198,150,99,false
4c462afd9a3766b0105030a42f0ae1386aeab8c21e5c330f36c80fb7253d05ed,2026-09-01 03:21:38.000000 UTC,964974,1,1,21877,20000,1877,150,99,false
175e94e073045f6284b151fb614320514d73fcc8fbf18f5f492f9dbd9d7ad1d9,2026-09-01 03:21:38.000000 UTC,964974,1,1,57753,57245,508,150,99,false
c2824ec6381298bfd7fbe78982b88888148ecc2f8e786ef93cadce0e7dffde2b,2026-09-01 03:21:38.000000 UTC,964974,1,1,383568,383370,198,150,99,false
376ce3e361427d93620d8678172825220e5258c73125c5f0cfa33c41dfe47623,2026-09-01 03:21:38.000000 UTC,964974,1,1,14561,14053,508,150,99,false
7fed518cf96b7abcd1567adca67167b714a013a0c787d17f4e8d88c2006def05,2026-09-01 03:21:38.000000 UTC,964974,1,1,22196,21974,222,150,99,false
ddd9a3514b3249749b3d5887f3e27afa54b3385f13a3810997b214ed7a0861d9,2026-09-01 03:21:38.000000 UTC,964974,1,1,23187,22652,535,151,100,false
