txid,block_timestamp,block_number,input_count,output_count,input_value,output_value,fee,virtual_size,fee_rate_sat_vb
f1c3f7918c9ff1e1a6a7c15f3df791d15271612758440dada557055b8d759e36,2026-09-09 04:41:35.000000 UTC,966152,1,1,2567346,128354,2438992,110,22172.654545455
9b777ee2dd8cac6e44a6d86f7ba4c1defd4c740cd48c55f6638aab67487fff5a,2026-09-13 11:40:02.000000 UTC,966815,1,1,1500000,546,1499454,149,10063.44966443
b302e2e7a249f123d0abce7c226200105124b9520787265037f00370fcc6bae3,2026-09-13 08:36:33.000000 UTC,966794,1,1,1500000,546,1499454,150,9996.36
58b07d0cb54bb118dc2452c8c9fa358b3286a4110a5875d90b4f542958e258c3,2026-09-13 07:52:38.000000 UTC,966792,1,1,1450000,546,1449454,149,9727.879194631
86e9706be5dda489c15d84e17da434782f07103258d9cd5685c26deb3b0f1f83,2026-09-03 13:40:57.000000 UTC,965320,1,2,1953000,250828,1702172,192,8865.479166667
00acec0cadc2cf043e3a744b128982c52bc281dae3c1b1f9f61ca3739bf8974c,2026-09-03 19:35:27.000000 UTC,965359,1,1,1235000,546,1234454,149,8284.926174497
28a69b42f281f328c4c9c1ae9644e642565cd22a0f9c1662dd1b6b8851b66466,2026-09-03 18:06:27.000000 UTC,965352,1,1,1234000,546,1233454,150,8223.026666667
01e5e6c4bba5dd8087f0f5507c97e36700acd5c5d430d1eb6a582db6e0526de2,2026-09-08 12:19:05.000000 UTC,966070,1,1,1200000,546,1199454,150,7996.36
f9806a86a925822956c15ae51a7b60f500c1cca0a0623ce2d1193ef972a57662,2026-09-08 12:02:58.000000 UTC,966068,1,1,800204,2876,797328,110,7248.436363636
641f96222b6c3297c2f19afaa7707ee5ddd71024315abcc9c06881c4d42d77fa,2026-09-04 15:55:16.000000 UTC,965496,1,1,2465798,1735703,730095,110,6637.227272727
d7b318551550a5a6f2286efd041e1a90e373272eba4e2584a6377b7cc35eabb3,2026-09-04 16:30:51.000000 UTC,965500,1,1,603689,0,603689,94,6422.223404255
9bc100774800ff53d362c198527fa8c4d3961a99758cb0e00a9d5a8f78d6cc94,2026-09-04 17:05:03.000000 UTC,965503,1,1,601511,533,600978,110,5463.436363636
f649f484175537f738be8f5b44553bdc0ea352296e03d8ca412ba2f151f44634,2026-09-12 19:11:17.000000 UTC,966709,1,1,598932,306,598626,110,5442.054545455
6e28bfa8c07907d28d53d3458a10b247195a82c5538f493a3c1444cc0e4c1c55,2026-09-09 02:03:57.000000 UTC,966135,1,1,1559646,1013770,545876,102,5351.725490196
d5868ceb25cff01fe0d6440bd0063eccc0ca6539b70a14afd43c86235288df25,2026-09-07 05:22:22.000000 UTC,965887,1,1,479149,0,479149,94,5097.329787234
d5898fa825a77ac14e1d3e2148f25f0c3e508c43e2d2db9a8de5233f33f7b616,2026-09-03 16:19:45.000000 UTC,965341,2,1,1231596,546,1231050,268,4593.470149254
f0e2293a4cb7573410d318fd590253c8a843df96edbb43e7f12a6a739942a7a6,2026-09-07 22:47:11.000000 UTC,965983,1,1,436453,1511,434942,110,3954.018181818
e8872933109aa582d6ec9684a7914022481e2e62722ffab1da57f209ef3970c6,2026-09-06 07:19:24.000000 UTC,965724,1,1,268031,0,268031,94,2851.393617021
78c644575a5b91a488b17d0966b2883daa9f4b861854ddfdb3f5ec134b84828a,2026-09-06 00:04:46.000000 UTC,965688,1,1,280772,14025,266747,110,2424.972727273
a0f07dc5ba03cbef82bfe8d21507492601e28ed0b51bf4d0ae0ee36c0bb77144,2026-09-05 10:36:00.000000 UTC,965598,1,1,222959,0,222959,94,2371.904255319
