day,transaction_count,avg_input_value_sats,avg_output_value_sats,avg_fee_sats,avg_fee_rate_sat_vb
2026-09-01,627203,161036891.23109105,161036411.305892988,479.925198062,1.912064516
2026-09-02,581281,162288318.521518852,162287804.949119273,513.57239958,2.061913891
2026-09-03,712207,146776056.247707478,146775602.277149761,453.970557717,1.819998606
2026-09-04,618147,157199270.106013618,157198718.809650455,551.296363163,2.220129884
2026-09-05,723706,93967957.372879318,93967610.551732333,346.821146985,1.417549099
2026-09-06,893226,68481045.805689713,68480804.403794784,241.401894929,1.062221732
2026-09-07,698873,104273085.732326188,104272726.019272457,359.713053731,1.505217191
2026-09-08,641240,120657677.010871125,120657223.809620423,453.201250702,1.872126007
2026-09-09,758329,115940320.579512322,115939883.56472059,437.014791733,1.853451717
2026-09-10,625363,136926982.349731276,136926515.87708419,466.472647087,1.898959926
2026-09-11,766577,110771726.866638316,110771318.580343527,408.286294788,1.634420331
2026-09-12,783480,82871401.646530862,82871117.284722009,284.361808853,1.243528366
2026-09-13,791542,87087639.588941585,87087376.208189837,263.380751748,1.147091696
2026-09-14,708059,114639463.823257666,114639080.879569358,382.943688308,1.604866048
2026-09-15,818236,122927178.202123837,122926825.391263645,352.810860192,1.476756604
2026-09-16,653726,134509919.299136029,134509477.98466177,441.31447426,1.804604327
2026-09-17,428172,180529657.733501957,180529228.880426558,428.8530754,1.711112777
