txid,block_timestamp,block_number,input_count,output_count,input_value,output_value,fee,virtual_size,fee_rate_sat_vb
a9671dfdb3b68b6b99541e60a58336f6c8c04ceea7bb0660426a2332640238a9,2026-09-17 05:15:16.000000 UTC,967371,7,3,4967000045640,4967000042907,2733,580,4.712068966
f87b06dd933359d69687cd8cd1580ecb7995e1f148eab8700ecdea599adc5206,2026-09-17 09:10:43.000000 UTC,967389,3,3,4945000034360,4945000032755,1605,310,5.177419355
1c413d18fd4942ed123111e4ea82e4e0166b97f0786ae052c872d9f5a38ceec1,2026-09-17 06:00:48.000000 UTC,967373,2,3,4941000026520,4941000025699,821,241,3.406639004
d222676eaa5ea1fc651ebe0170d4abc544dc93d2d0e680ea8bf1972ff6e2eeac,2026-09-17 07:07:57.000000 UTC,967376,2,3,4915000029260,4915000028165,1095,241,4.543568465
ddfc81eb9b42e0571b0f7f23da115db13a40c2870b415731b3097acc437ca4c0,2026-09-16 14:41:25.000000 UTC,967292,5,3,2133353763804,2133353761179,2625,444,5.912162162
24f1aeecf1b4401da83c15bab7f6b74f286df74a6d13c0a6d8e58bf0369e4120,2026-09-13 18:14:05.000000 UTC,966857,3,2,2035914737828,2035914734098,3730,372,10.02688172
3ce534d21f5214e0ca4e641c6ed089968c5f0b3358fe63db2d4fb8ba56995d1e,2026-09-15 04:28:43.000000 UTC,967076,2,2,2035883086037,2035883083267,2770,277,10
0f7a5799eee52cadaaa8ec21d7f90717b5d407b5cc44922f5c765a576fe8a679,2026-09-15 00:20:59.000000 UTC,967041,3,2,2035738064216,2035738060486,3730,372,10.02688172
40d477dd1124bfdb239adbfa0bfa36125c3df29da4b75f508b74e6336debc4e7,2026-09-15 06:39:48.000000 UTC,967084,1,2,2035632570953,2035632569143,1810,181,10
1699150758bdb8fe91e541bc875cdf47dae6b97a8704a3191fcdbb002dfa672d,2026-09-14 04:13:13.000000 UTC,966911,2,2,2035462666463,2035462663693,2770,277,10
58f469c05df0434ee4706812e47d2409ebba9d5172882edc6c6312b5ed9eada0,2026-09-17 10:17:34.000000 UTC,967394,4,2,2035335350300,2035335345610,4690,468,10.021367521
bf2b8d4b501e6e800728770529e2e112674c6314963c3e8682f1ae1c4d5ddc8e,2026-09-14 06:13:54.000000 UTC,966928,1,2,2035333519122,2035333517312,1810,181,10
9e6908035f3ad73a6e2adfd712e053d5481e18ced24f8784ca95d13d3732d169,2026-09-14 00:26:40.000000 UTC,966889,2,2,2035248804844,2035248802074,2770,276,10.036231884
0ed0e5dc8de1c667d7c88adaff66f8d33c145ece76f69225871b33adbf74ed43,2026-09-14 16:12:45.000000 UTC,966988,3,2,2035236469165,2035236465435,3730,372,10.02688172
21c8213ab00c78270fc94e3ce9923a09024d181dd7d292d4522e187f93a18be8,2026-09-16 16:31:12.000000 UTC,967299,5,2,2035190168557,2035190162907,5650,564,10.017730496
254f741a22b41a8616b1bb9c4d493a510df98883f9e768bf529dd151e5ea591a,2026-09-14 10:17:20.000000 UTC,966946,2,2,2035156555400,2035156552630,2770,277,10
7051bbbb2fea1451484261e48ba153f79e7700daa0d7845c9eb6f287659e2296,2026-09-16 22:14:56.000000 UTC,967328,3,2,2035114627330,2035114623600,3730,372,10.02688172
509386b60469edc571098408d860b8516cc4f996a5702fcd9eb008826d884e5d,2026-09-17 00:19:07.000000 UTC,967339,1,2,2035113665585,2035113663775,1810,181,10
d53d5895e49f29b5a71545f92a4cb4ce492af77855918bba54cf95285f800fd7,2026-09-17 16:12:07.000000 UTC,967434,3,2,2035105737895,2035105734165,3730,372,10.02688172
f970f15757ea8d93e0c380a4183109d188ebbeb3bde1451eb89c0a01b49f8a2e,2026-09-17 02:29:27.000000 UTC,967356,1,2,2035102110925,2035102109115,1810,181,10
